GDHI by combined authority and city region: GDHI per head of population at current basic prices 1997-2018,,,,,,,,,,,,,,,,,,,,,,,pounds
Geo code,Area name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,20181
E61000001,Greater London Authority,"13,121","13,584","14,444","15,614","16,119","16,419","17,051","17,918","19,008","19,919","21,402","22,053","21,922","22,105","22,030","23,415","24,641","25,661","27,277","27,649","27,923","29,362"
E47000001,Greater Manchester Combined Authority,"9,620","9,765","10,399","10,979","11,247","11,556","11,782","12,122","12,515","12,929","13,421","13,583","13,960","14,085","14,274","14,756","15,158","15,542","16,201","16,274","16,721","17,511"
E47000004,Liverpool City Region Combined Authority,"9,350","9,513","9,998","10,516","10,811","11,192","11,533","11,891","12,273","12,651","13,237","13,450","14,047","14,245","14,384","14,884","15,311","15,633","16,218","16,339","16,759","17,430"
E47000011,North of Tyne Combined Authority,"9,871","10,073","10,404","11,073","11,469","11,718","12,156","12,649","12,807","13,333","13,712","14,148","14,833","14,975","15,137","15,742","16,008","16,327","16,930","17,055","17,456","18,225"
E47000010,North East Combined Authority,"8,938","9,074","9,396","9,975","10,342","10,579","10,811","11,315","11,594","11,974","12,335","12,534","13,015","13,367","13,566","14,128","14,471","14,784","15,296","15,395","15,725","16,335"
E47000006,Tees Valley Combined Authority,"9,233","9,063","9,499","10,083","10,553","10,774","11,000","11,440","11,839","12,288","12,618","12,867","13,438","13,608","13,850","14,466","14,623","15,127","15,520","15,644","16,131","16,619"
E47000007,West Midlands Combined Authority,"9,160","9,392","9,778","10,392","10,715","10,963","11,097","11,457","11,548","11,826","12,169","12,399","12,722","12,959","13,133","13,487","13,855","14,360","14,888","15,100","15,380","16,078"
E47000008,Cambridgeshire and Peterborough Combined Authority,"11,127","11,473","12,204","12,845","13,034","13,557","13,559","14,069","14,926","15,571","16,169","16,476","16,733","16,866","16,923","17,615","18,328","19,182","19,968","20,420","21,020","22,129"
E47000009,West of England Combined Authority,"11,180","11,448","11,973","12,493","12,797","12,979","13,309","13,636","14,025","14,773","15,416","15,935","15,950","16,293","16,681","17,071","17,676","18,279","19,297","19,569","20,123","21,080"
