Year,GDHI/Area,GDHI/Pounds,Region,"Observed/%Overweight, including obese",Observed/BMI,Observed/Standard error of the mean ,"Standardised/%Overweight, including obese",Standardised/BMI,Standardised/Standard error of the mean ,All adults/% overweight including obese,All adults/Mean BMI,All adults/Standard error of the mean,,,,,,
2014,GDHI/North of Tyne Combined Authority,"16,327",North East ,68,0,0,68,0,0,62,27.2,0.09,,,,,,
2015,GDHI/North of Tyne Combined Authority,"16,930",North East ,69,0,0,69,0,0,63,27.4,0.08,,,,,,
2016,GDHI/North of Tyne Combined Authority,"17,055",North East ,68,28,0,68,28,0,61,27.3,0.09,,,,,,
2017,GDHI/North of Tyne Combined Authority,"17,456",North East ,66,28,0,66,28,0,64,27.7,0.09,,,,,,
2018,GDHI/North of Tyne Combined Authority,"18,225",North East ,69,29,0,69,29,0,63,27.5,0.09,,,,,,
2019,GDHI/North of Tyne Combined Authority,0,North East ,68,28,0,66,28,0,64,27.6,0.1,,,,,,
2014,GDHI/North East Combined Authority,"14,784",North East ,68,0,0,68,0,0,62,27.2,0.09,,,,,,
2015,GDHI/North East Combined Authority,"15,296",North East ,69,0,0,69,0,0,63,27.4,0.08,,,,,,
2016,GDHI/North East Combined Authority,"15,395",North East ,68,28,0,68,28,0,61,27.3,0.09,,,,,,
2017,GDHI/North East Combined Authority,"15,725",North East ,66,28,0,66,28,0,64,27.7,0.09,,,,,,
2018,GDHI/North East Combined Authority,"16,335",North East ,69,29,0,69,29,0,63,27.5,0.09,,,,,,
2019,GDHI/North East Combined Authority,0,North East ,68,28,0,66,28,0,64,27.6,0.1,,,,,,
2014,GDHI/Tees Valley Combined Authority,"15,127",North East ,68,0,0,68,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Tees Valley Combined Authority,"15,520",North East ,69,0,0,69,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Tees Valley Combined Authority,"15,644",North East ,68,28,0,68,28,0,61,27.3,0.09,,,,,,
2017,GDHI/Tees Valley Combined Authority,"16,131",North East ,66,28,0,66,28,0,64,27.7,0.09,,,,,,
2018,GDHI/Tees Valley Combined Authority,"16,619",North East ,69,29,0,69,29,0,63,27.5,0.09,,,,,,
2019,GDHI/Tees Valley Combined Authority,0,North East ,68,28,0,66,28,0,64,27.6,0.1,,,,,,
2014,GDHI/Greater Manchester Combined Authority,"15,542",North West ,63,0,0,61,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Greater Manchester Combined Authority,"16,201",North West ,66,0,0,66,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Greater Manchester Combined Authority,"16,274",North West ,62,27,0,61,27,0,61,27.3,0.09,,,,,,
2017,GDHI/Greater Manchester Combined Authority,"16,721",North West ,63,28,0,63,28,0,64,27.7,0.09,,,,,,
2018,GDHI/Greater Manchester Combined Authority,"17,511",North West ,64,27,0,62,27,0,63,27.5,0.09,,,,,,
2019,GDHI/Greater Manchester Combined Authority,0,North West ,68,28,0,68,28,0,64,27.6,0.1,,,,,,
2014,GDHI/Liverpool City Region Combined Authority,"15,633",North West ,63,0,0,61,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Liverpool City Region Combined Authority,"16,218",North West ,66,0,0,66,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Liverpool City Region Combined Authority,"16,339",North West ,62,27,0,61,27,0,61,27.3,0.09,,,,,,
2017,GDHI/Liverpool City Region Combined Authority,"16,759",North West ,63,28,0,63,28,0,64,27.7,0.09,,,,,,
2018,GDHI/Liverpool City Region Combined Authority,"17,430",North West ,64,27,0,62,27,0,63,27.5,0.09,,,,,,
2019,GDHI/Liverpool City Region Combined Authority,0,North West ,68,28,0,68,28,0,64,27.6,0.1,,,,,,
2014,GDHI/Sheffield City Region,,Yorkshire & the Humber,60,0,0,59,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Sheffield City Region,"14,920",Yorkshire & the Humber,65,0,0,64,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Sheffield City Region,"15,431",Yorkshire & the Humber,64,28,0,65,28,0,61,27.3,0.09,,,,,,
2017,GDHI/Sheffield City Region,"15,862",Yorkshire & the Humber,71,28,0,70,28,0,64,27.7,0.09,,,,,,
2018,GDHI/Sheffield City Region,"16,541",Yorkshire & the Humber,68,28,0,68,28,0,63,27.5,0.09,,,,,,
2019,GDHI/Sheffield City Region,0,Yorkshire & the Humber,63,28,0,63,28,0,64,27.6,0.1,,,,,,
2014,GDHI/Leeds City Region,"16,017",Yorkshire & the Humber,60,0,0,59,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Leeds City Region,"16,706",Yorkshire & the Humber,65,0,0,64,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Leeds City Region,"16,713",Yorkshire & the Humber,64,28,0,65,28,0,61,27.3,0.09,,,,,,
2017,GDHI/Leeds City Region,"17,155",Yorkshire & the Humber,71,28,0,70,28,0,64,27.7,0.09,,,,,,
2018,GDHI/Leeds City Region,"17,901",Yorkshire & the Humber,68,28,0,68,28,0,63,27.5,0.09,,,,,,
2019,GDHI/Leeds City Region,0,Yorkshire & the Humber,63,28,0,63,28,0,64,27.6,0.1,,,,,,
2014,GDHI/West Yorkshire Combined Authority,"15,348",Yorkshire & the Humber,60,0,0,59,0,0,62,27.2,0.09,,,,,,
2015,GDHI/West Yorkshire Combined Authority,"15,998",Yorkshire & the Humber,65,0,0,64,0,0,63,27.4,0.08,,,,,,
2016,GDHI/West Yorkshire Combined Authority,"16,000",Yorkshire & the Humber,64,28,0,65,28,0,61,27.3,0.09,,,,,,
2017,GDHI/West Yorkshire Combined Authority,"16,426",Yorkshire & the Humber,71,28,0,70,28,0,64,27.7,0.09,,,,,,
2018,GDHI/West Yorkshire Combined Authority,"17,086",Yorkshire & the Humber,68,28,0,68,28,0,63,27.5,0.09,,,,,,
2019,GDHI/West Yorkshire Combined Authority,0,Yorkshire & the Humber,63,28,0,63,28,0,64,27.6,0.1,,,,,,
2014,GDHI/Aberdeen City Region,"22,137",Scotland,0,0,0,0,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Aberdeen City Region,"22,024",Scotland,0,0,0,0,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Aberdeen City Region,"20,780",Scotland,0,0,0,0,0,0,61,27.3,0.09,,,,,,
2017,GDHI/Aberdeen City Region,"20,628",Scotland,0,0,0,0,0,0,64,27.7,0.09,,,,,,
2018,GDHI/Aberdeen City Region,"21,648",Scotland,0,0,0,0,0,0,63,27.5,0.09,,,,,,
2019,GDHI/Aberdeen City Region,0,Scotland,0,0,0,0,0,0,64,27.6,0.1,,,,,,
2014,GDHI/Glasgow City Region,"16,343",Scotland,0,0,0,0,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Glasgow City Region,"16,920",Scotland,0,0,0,0,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Glasgow City Region,"17,112",Scotland,0,0,0,0,0,0,61,27.3,0.09,,,,,,
2017,GDHI/Glasgow City Region,"17,522",Scotland,0,0,0,0,0,0,64,27.7,0.09,,,,,,
2018,GDHI/Glasgow City Region,"18,452",Scotland,0,0,0,0,0,0,63,27.5,0.09,,,,,,
2019,GDHI/Glasgow City Region,0,Scotland,0,0,0,0,0,0,64,27.6,0.1,,,,,,
2014,GDHI/Edinburgh and South East Scotland City Region,"18,678",Scotland,0,0,0,0,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Edinburgh and South East Scotland City Region,"19,251",Scotland,0,0,0,0,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Edinburgh and South East Scotland City Region,"19,420",Scotland,0,0,0,0,0,0,61,27.3,0.09,,,,,,
2017,GDHI/Edinburgh and South East Scotland City Region,"20,012",Scotland,0,0,0,0,0,0,64,27.7,0.09,,,,,,
2018,GDHI/Edinburgh and South East Scotland City Region,"20,988",Scotland,0,0,0,0,0,0,63,27.5,0.09,,,,,,
2019,GDHI/Edinburgh and South East Scotland City Region,0,Scotland,0,0,0,0,0,0,64,27.6,0.1,,,,,,
2014,GDHI/Stirling and Clackmannanshire City Region,"18,573",Scotland,0,0,0,0,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Stirling and Clackmannanshire City Region,"18,965",Scotland,0,0,0,0,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Stirling and Clackmannanshire City Region,"19,132",Scotland,0,0,0,0,0,0,61,27.3,0.09,,,,,,
2017,GDHI/Stirling and Clackmannanshire City Region,"19,653",Scotland,0,0,0,0,0,0,64,27.7,0.09,,,,,,
2018,GDHI/Stirling and Clackmannanshire City Region,"20,688",Scotland,0,0,0,0,0,0,63,27.5,0.09,,,,,,
2019,GDHI/Stirling and Clackmannanshire City Region,0,Scotland,0,0,0,0,0,0,64,27.6,0.1,,,,,,
2014,GDHI/Tay Cities Region,"16,953",Scotland,0,0,0,0,0,0,62,27.2,0.09,,,,,,
2015,GDHI/Tay Cities Region,"17,483",Scotland,0,0,0,0,0,0,63,27.4,0.08,,,,,,
2016,GDHI/Tay Cities Region,"17,668",Scotland,0,0,0,0,0,0,61,27.3,0.09,,,,,,
2017,GDHI/Tay Cities Region,"18,104",Scotland,0,0,0,0,0,0,64,27.7,0.09,,,,,,
